,longitude,latitude,ssrd,t2mmin,vpd,sSWC,FPAR,GPP,GPP_constant-Tmin,GPP_constant-SWrad,GPP_constant-VPD,GPP_constant-FPAR,GPP_constant-SWC
1982-02-08,13.125,49.375,2.7160013,-0.40820312,375.78458,0.41642725,0.234,0.1200819811292203,0.30058067867139004,0.6631917727500001,0.1200819811292203,0.2565854297632913,0.1200819811292203
1982-02-09,13.125,49.375,4.841719,-0.43566895,531.3983,0.4072074,0.242,0.22044231093268102,0.5541536222541,0.6829464213,0.22044231093268102,0.4554593201088451,0.22044231093268102
1982-02-10,13.125,49.375,8.748596,-2.7661133,595.51294,0.4043674,0.25,0.26543014987653,1.03441211955,0.45509613750000005,0.26543014987653,0.53086029975306,0.26543014987653
1982-02-11,13.125,49.375,7.7648206,-3.4396973,624.2659,0.40668625,0.258,0.20446444700738364,0.9474719509146601,0.39498230070000007,0.20446444700738364,0.39624892830888303,0.20446444700738364
1982-02-12,13.125,49.375,9.046607,-4.493103,445.52554,0.4069673,0.266,0.17287825273927554,1.1381056796529003,0.28664600895000003,0.17287825273927554,0.3249591216903675,0.17287825273927554
1982-02-13,13.125,49.375,8.859312,-4.4768677,336.46268,0.40664634,0.274,0.17553886041306385,1.1480631812496,0.2972107660500001,0.17553886041306385,0.32032638761508003,0.17553886041306385
1982-02-14,13.125,49.375,8.021495,-4.19928,327.77496,0.40313375,0.282,0.18155219231968783,1.0698420289905,0.33949817144999994,0.18155219231968783,0.3219010502122125,0.18155219231968783
1982-02-15,13.125,49.375,7.7172594,-2.8619385,384.86584,0.39713135,0.29,0.26546291456648435,1.0584645716367,0.515978991,0.26546291456648435,0.4576946802870421,0.26546291456648435
1982-02-16,13.125,49.375,8.402855,-2.5670776,295.59222,0.3940046,0.29230767,0.3121403958544179,1.1616687601578635,0.5572041809380583,0.3121403958544179,0.5339244020767875,0.3121403958544179
1982-02-17,13.125,49.375,5.771723,-2.1992798,329.3594,0.39261144,0.2946154,0.23402871236875142,0.8042223792740599,0.6082119127219501,0.23402871236875142,0.397176645159675,0.23402871236875142
1982-02-18,13.125,49.375,3.9436817,-2.2705383,282.591,0.39014927,0.29692307,0.15872203144633132,0.553810298137932,0.6037075638469936,0.15872203144633132,0.2672780384601495,0.15872203144633132
