,longitude,latitude,ssrd,t2mmin,vpd,FPAR,GPP,GPP_constant-Tmin,GPP_constant-SWrad,GPP_constant-VPD,GPP_constant-FPAR
1982-04-03,11.625,50.875,10.4970875,3.1381836,897.979,0.296,0.7022613223088845,1.2249456171444,1.003508814672,0.9338581413681977,1.1862522336298726
1982-04-04,11.625,50.875,18.091734,0.014404297,896.1318,0.29799998,0.8039618045656657,2.1308290606034075,0.6665711019455064,1.0664037731339246,1.3489292928235528
1982-04-05,11.625,50.875,19.891743,1.2167053,1282.9662,0.29999998,0.5197674314525235,1.1481498375359476,0.39194712458268993,1.4162600312057858,0.8662791101728131
1982-04-06,11.625,50.875,18.061302,6.488434,1641.1619,0.302,0.01971587742721388,0.025163851215333603,0.016374133017,2.2404406167288498,0.03264218117088391
1982-04-07,11.625,50.875,8.28313,8.73642,893.88837,0.304,0.9227682724881083,0.9981268496355961,1.671049963881,1.22043152028582,1.5177109744870205
1982-04-08,11.625,50.875,8.04467,0.13006592,690.7979,0.306,0.47608724820930615,1.2378763603986123,0.8877068572284001,0.49633783174448093,0.7779203402112846
1982-04-09,11.625,50.875,16.74934,-0.124572754,589.2219,0.308,0.996878397917556,2.70449918046,0.8927621010000001,0.996878397917556,1.6183090875285
1982-04-10,11.625,50.875,11.953101,0.75198364,522.8701,0.31,0.822880315672713,1.9425880917675,1.032636195,0.822880315672713,1.32722631560115
1982-04-11,11.625,50.875,17.851688,-0.63116455,525.0963,0.312,0.9834321543606142,2.9199291994079997,0.8263354319999999,0.9834321543606142,1.5760130678855997
1982-04-12,11.625,50.875,17.870197,-0.8227234,495.66373,0.31399998,0.9554620022520951,2.941693356687485,0.8020017929170798,0.9554620022520951,1.5214364062254
1982-04-13,11.625,50.875,17.993467,-0.06237793,546.51013,0.31599998,1.1103671967724131,2.980851534959499,0.9256419539150624,1.1103671967724131,1.7569102326721873
1982-04-14,11.625,50.875,17.746515,-1.0008545,618.64154,0.318,0.927800695268496,2.9585481354225003,0.784210896,0.927800695268496,1.4588061246359998
1982-04-15,11.625,50.875,20.379333,0.43084717,914.8292,0.32,1.013957554984237,2.513528891879616,0.746313106752,1.3791588071058718,1.5843086796628703
1982-04-16,11.625,50.875,21.26484,1.0310364,1036.0171,0.32333332,0.9762396646019995,2.213193526642484,0.6886294450854081,1.5899668804592824,1.5096490281329489
1982-04-17,11.625,50.875,19.239628,3.9362488,919.7716,0.32666665,1.4998524441692944,2.405923073739645,1.1693462400904744,2.05402964142604,2.2956926337128296
1982-04-18,11.625,50.875,18.535011,1.5552368,888.6595,0.32999998,1.1571225901557938,2.4411868990628562,0.9364353143538411,1.5199298438930697,1.7532161519461207
1982-04-19,11.625,50.875,14.617337,0.48742676,932.68146,0.33333334,0.7457284170527279,1.8322565529551054,0.7652506236800122,1.0396325345779,1.11859260320724
1982-04-20,11.625,50.875,19.368814,3.1533203,966.65393,0.33666667,1.3412699663619525,2.3358933583454413,1.0387341989772472,1.962929849790652,1.9919850788347309
1982-04-21,11.625,50.875,14.904447,2.9022217,955.2528,0.34,1.030750845076107,1.8455700001362705,1.03735902956625,1.4837352023551276,1.5158100662883927
1982-04-22,11.625,50.875,23.368307,2.6411438,890.3437,0.34333333,1.7322205564584785,3.195389331227593,1.1119037569506929,2.280137628614556,2.5226513203050787
1982-04-23,11.625,50.875,20.84983,0.15142822,1034.1265,0.34666666,0.9006125951372262,2.333797862496051,0.6479280131808458,1.462270815290187,1.2989604987356242
1982-04-24,11.625,50.875,15.844434,4.5285645,888.3192,0.35,1.4626485697749958,2.2144565780090777,1.384696262840625,1.9202423129512876,2.0894979568214227
1982-04-25,11.625,50.875,20.046417,3.0532227,1029.8391,0.35333332,1.3080968236393933,2.3029873655623123,0.978800967504113,2.10915321451047,1.8510804806625558
1982-04-26,11.625,50.875,5.7504106,4.320038,801.22986,0.35666665,0.5908508487902019,0.9126519134850198,1.5412399823854366,0.696101376991284,0.8282956211215738
1982-04-27,11.625,50.875,18.361181,2.705536,944.6218,0.36,1.3349013847278468,2.444426633817702,1.090535558193,1.892403437379993,1.8540297010108986
1982-04-28,11.625,50.875,7.236337,2.7370605,730.3509,0.36333334,0.6947382957832303,1.2675393099493346,1.4401035270674176,0.7554787905428778,0.9560618573886316
1982-04-29,11.625,50.875,9.136753,1.1096497,599.51984,0.36666667,0.7833153131805983,1.7563123613914762,1.2859852616907748,0.7833153131805983,1.06815723553575
1982-04-30,11.625,50.875,19.066364,0.59262085,710.76294,0.37,1.4366357093879734,3.4734905932978077,1.1302383422880002,1.529637680353464,1.9413996072810455
1982-05-01,11.625,50.875,9.997364,2.3073425,719.70026,0.37933335,0.9639897107533201,1.8495581557047585,1.4463658281622838,1.036213813558336,1.2706366455168256
1982-05-02,11.625,50.875,19.307247,1.281311,757.2314,0.38866666,1.6044136818320165,3.5122891458669367,1.2464855930770575,1.7970583353853233,2.0639970531972263
1982-05-03,11.625,50.875,19.124392,1.9546204,1177.13,0.398,0.941627227636096,1.8870285122967856,0.7385546382097499,1.9911762056166127,1.1829487784373063
1982-05-04,11.625,50.875,15.348595,7.852539,1195.9691,0.40733334,1.2931016127164852,1.4880340767738611,1.2637328817880258,2.848241437701509,1.5872769127080113
1982-05-05,11.625,50.875,13.095562,5.8547974,929.6202,0.41666666,1.532578812137389,2.0607487053077707,1.7554559462252046,2.1273997947492904,1.8390946039903802
1982-05-06,11.625,50.875,11.618724,4.3248596,731.3342,0.426,1.5440241432681274,2.3838569449870732,1.9933653772154247,1.6806619606706514,1.8122349099391166
1982-05-07,11.625,50.875,16.16539,2.706543,631.63074,0.43533334,2.0151076442632516,3.689321941163038,1.8698351641345352,2.0151076442632516,2.31444212871825
1982-05-08,11.625,50.875,19.306732,3.2951965,1069.0049,0.44466665,1.5247580666300953,2.614916938141134,1.184631920070752,2.6243684451464633,1.714495641431728
1982-05-09,11.625,50.875,18.390707,4.6537476,1085.7806,0.454,1.650677533295281,2.4695953520276492,1.3463410079574,2.9256957343057084,1.8179267987833487
1982-05-10,11.625,50.875,15.722742,7.1632996,914.709,0.46333334,2.3189945256606,2.8081793723184796,2.212395133425773,3.1538073244398213,2.50251204204364
1982-05-11,11.625,50.875,6.422067,4.3450623,595.63544,0.47266665,1.0327921514235125,1.5913592471856894,2.412289107440438,1.0327921514235125,1.0925164187313752
