,longitude,latitude,ssrd,t2mmin,vpd,FPAR,GPP,GPP_constant-Tmin,GPP_constant-SWrad,GPP_constant-VPD,GPP_constant-FPAR
1982-01-01,12.125,51.375,2.4096968,3.6696777000000003,573.6865,,,,,,0.36845405063434794
1982-01-02,12.125,51.375,2.2029292999999996,3.834137,667.7884,,,,,,0.33855881138380595
1982-01-03,12.125,51.375,1.474293,4.780304,739.3304400000001,,,,,,0.23622913616165955
1982-01-04,12.125,51.375,2.211297,7.69458,918.67114,,,,,,0.39422300503589025
1982-01-05,12.125,51.375,2.3040547,7.2586975,973.2030599999999,,,,,,0.38389258510690333
1982-01-06,12.125,51.375,2.7400293,-8.326691,318.67386,,,,,,0.0
1982-01-07,12.125,51.375,2.822619,-13.237151999999998,296.63547,,,,,,0.0
1982-01-08,12.125,51.375,4.1142917,-12.810608,203.18503,,,,,,0.0
1982-01-09,12.125,51.375,1.9586896,-14.598663,265.37633999999997,,,,,,0.0
1982-01-10,12.125,51.375,4.407634,-16.042664000000002,223.18082,,,,,,0.0
1982-01-11,12.125,51.375,2.0260253,-13.728882,276.93143,,,,,,0.0
1982-01-12,12.125,51.375,3.6297016,-8.251282000000002,335.82596,,,,,,0.0
1982-01-13,12.125,51.375,3.7399776,-10.397888,229.13898999999998,,,,,,0.0
1982-01-14,12.125,51.375,4.723259400000001,-12.869475999999999,316.84256,,,,,,0.0
1982-01-15,12.125,51.375,4.5615945,-10.605682,493.7044,0.19,0.0,0.40990716256725007,0.0,0.0,0.0
1982-01-16,12.125,51.375,4.4529133000000005,-7.025390600000001,467.24368,0.188125,0.0,0.39619225557233445,0.0,0.0,0.0
1982-01-17,12.125,51.375,4.685212,-7.780212400000001,419.18936,0.18625,0.0,0.41270597661825,0.0,0.0,0.0
1982-01-18,12.125,51.375,3.7488656000000002,-6.1607970000000005,396.11298,0.184375,0.01663929480348473,0.32690166608025006,0.06657731929687502,0.01663929480348473,0.04512351133148401
1982-01-19,12.125,51.375,4.3779959999999996,-4.6784362999999995,331.56433,0.1825,0.05316766119685754,0.37787961049649993,0.18216437793749998,0.05316766119685754,0.14566482519686996
1982-01-20,12.125,51.375,3.6737547,-4.965088,276.87326,0.18062499,0.03869601984891645,0.3138363329190303,0.15799647639341477,0.03869601984891645,0.10711701589275228
1982-01-21,12.125,51.375,5.0891805,-5.9028015,332.4719,0.17875,0.028610851289035642,0.4302383652486562,0.08432846296875,0.028610851289035642,0.08003035325604377
1982-01-22,12.125,51.375,1.8156793000000002,-1.8096008000000001,12.47344,0.176875,0.04778367449431747,0.15188707722287817,0.39475865446874997,0.04778367449431747,0.13507752507227552
1982-01-23,12.125,51.375,2.5362134,-2.794403,148.25072,0.175,0.053506791153794475,0.20991287231775,0.316456756875,0.053506791153794475,0.1528765461536985
1982-01-24,12.125,51.375,2.181956,-1.1045837,223.49442000000002,0.173125,0.06383428834680213,0.178657398115875,0.43883301276562503,0.06383428834680213,0.18435895551423
1982-01-25,12.125,51.375,3.003072,-0.18115234,492.77597000000003,0.17125,0.10052566621247883,0.24322687203600005,0.50211416615625,0.10052566621247883,0.29350559478096006
1982-01-26,12.125,51.375,1.2999923999999998,0.094451904,583.9269,0.169375,0.044778939807648376,0.1041370693201125,0.5166830953125001,0.044778939807648376,0.1321887521997
1982-01-27,12.125,51.375,2.3184142000000003,0.9015198,539.9996,0.16749999,0.08795608299970355,0.18366273334663508,0.5690705504631367,0.08795608299970355,0.2625554873158606
1982-01-28,12.125,51.375,4.139409,-0.87246704,560.58826,0.16562499,0.12042629740381379,0.32424958913250884,0.4363894606832055,0.12042629740381379,0.363551108452335
1982-01-29,12.125,51.375,5.1990027,1.6737976000000003,622.2822,0.16375,0.21166768426575075,0.4026396885405188,0.6106969830937501,0.21166768426575075,0.6463135397427503
1982-01-30,12.125,51.375,0.52312833,2.6403502999999997,606.10046,0.161875,0.02340125437138897,0.040050067382147815,0.670999438265625,0.02340125437138897,0.07228186678421304
1982-01-31,12.125,51.375,5.122103,-1.20224,647.6297599999999,0.16,0.13620256206510242,0.38759977821600006,0.3988671120000001,0.13620256206510242,0.42563300645344504
1982-02-01,12.125,51.375,4.442051,-3.3827515,354.17294,0.16466667,0.07583069267530895,0.3459429410369934,0.256066485983532,0.07583069267530895,0.23025513504132003
1982-02-02,12.125,51.375,6.438443,-4.217010500000001,457.21722,0.16933332,0.08698684733044083,0.5156303931857785,0.20265811314266702,0.08698684733044083,0.25685094738129755
1982-02-03,12.125,51.375,6.752091,-5.502380400000001,438.28005999999993,0.174,0.05045318800635925,0.5556518502903001,0.11208347460000001,0.05045318800635925,0.14498042530563002
1982-02-04,12.125,51.375,6.889297,-6.034363,402.56705,0.17866667,0.03405567924016694,0.5821483630797768,0.07414910238337875,0.03405567924016694,0.0953050707223875
1982-02-05,12.125,51.375,7.166485300000001,-4.406067,566.13495,0.18333332,0.09768219029218092,0.6213879789578939,0.204456270130452,0.09768219029218092,0.26640599289911104
1982-02-06,12.125,51.375,2.5934749,-1.118866,454.6507,0.188,0.08218504998363765,0.23059778334354003,0.4753374516,0.08218504998363765,0.218577260594781
1982-02-07,12.125,51.375,4.311574,2.5201416,678.9976,0.19266666,0.2229275073057718,0.3863561651746479,0.7755665586596858,0.22669057078073193,0.5785316133724739
1982-02-08,12.125,51.375,2.0597847,2.49234,464.1408,0.19733332,0.11059407342560176,0.19223722132035767,0.805380825182373,0.11059407342560176,0.28022148876226727
